Arroz cocido	Cereales	60.0	1.1	13.3	0.1	0.1	0.0	0.0	0.25 taza	1
Arroz crudo	Cereales	72.0	1.3	15.9	0.1	0.0	0.2	0.0	20 9	1
Arroz inflado con cocoa	Cereales	64.0	0.9	14.7	0.2	0.1	126.2	0.0	0.5 taza	1
Arroz inflado natural	Cereales	65.0	1.1	14.6	0.1	0.5	126.2	0.0	0.5 taza	1
Arroz integral cocido	Cereales	73.0	1.5	15.3	0.5	1.2	0.7	0.0	0.3333333333333333 taza	1
Arroz integral crudo	Cereales	72.0	1.5	15.2	0.5	0.7	0.8	0.0	20 g	1
Arroz precocido cocido	Cereales	64.0	1.5	13.6	0.2	0.5	1.0	0.0	0.3333333333333333 taza	1
Arroz precocido crudo	Cereales	75.0	1.6	16.1	0.2	0.4	0.6	0.0	20 g	1
Arroz pulido crudo	Cereales	72.0	1.3	15.9	0.1	0.0	0.2	0.0	20 g	1
Arroz salvaje cocido	Cereales	55.0	2.1	11.6	0.2	1.0	1.7	0.0	0.3333333333333333 taza	1
Arroz salvaje crudo	Cereales	71.0	2.9	15.0	0.2	1.2	1.4	0.0	20 g	1
Arúgula	Condimentos	3.0	0.3	0.4	0.1	0.0	3.2	0.0	1 taza	1
Aspartame	Condimentos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1 sobre	1
Ate	Azucares	41.0	0.4	9.8	0.1	0.0	0.0	0.0	13 g	1
Ate de guayaba	Azucares	41.0	0.4	9.8	0.1	0.0	0.0	0.0	13 g	1
Ate de membrillo	Azucares	41.0	0.4	9.8	0.1	0.0	0.0	0.0	13 g	1
Atole en polvo	Cereales	68.0	0.0	16.4	0.0	0.0	0.0	0.0	7 cucharadita	1
Atole en sobre	Cereales	58.0	0.0	14.0	0.0	0.0	0.0	0.0	0.3333333333333333 sobre	1
Atole vitaminado	Cereales	59.0	0.0	14.1	0.0	0.0	0.0	0.0	0.3333333333333333 sobre	1
Atún blanco en aceite	Carnes	46.0	6.6	0.0	2.0	0.0	91.2	0.0	25 g	1
Atún blanco en agua	Carnes	39.0	7.3	0.0	0.9	0.0	116.1	0.0	0.2 taza	1
Atún drenado	Carnes	49.0	7.3	0.0	2.1	0.0	88.5	0.0	25 g	1
Atún en aceite	Carnes	49.0	7.3	0.0	2.1	0.0	70.8	0.0	25 g	1
Atún en agua	Carnes	36.0	7.9	0.0	0.3	0.0	104.1	0.0	0.2 taza	1
Atún fresco	Carnes	43.0	7.0	0.0	1.5	0.0	11.6	0.0	30 g	1
Atún horneado	Carnes	37.0	6.0	0.0	1.3	0.0	10.0	0.0	20 g	1
Atún light	Carnes	36.0	7.9	0.0	0.3	0.0	104.1	0.0	0.2 taza	1
Avellana	Aceites	72.0	2.5	2.3	6.5	0.0	0.0	0.0	9 pieza	1
Avellana picada	Aceites	71.0	2.4	2.3	6.4	0.0	0.0	0.0	5 cucharadita	1
Avellana salada	Aceites	72.0	1.8	1.6	7.1	0.0	15.6	0.0	8 pieza	1
Avellana tostada	Aceites	75.0	1.1	2.0	7.5	0.0	0.4	0.0	8 pieza	1
Avena cocida	Cereales	66.0	5.2	18.8	1.3	4.3	1.5	0.0	0.75 taza	1
Avena con canela y especias	Cereales	56.0	1.3	11.7	0.7	1.0	81.2	0.0	0.3333333333333333 sobre	1
